DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
2008-4-1,0.031905878,-0.42969,0.013957329,0.039435248,0.031403035,-0.52003,0.016030465,0.039187228,1,0,0,1
2008-5-1,0.031403035,-0.52003,0.016030465,0.039187228,0.032822781,-0.49868,0.011205798,0.041847042,1,0,0,1
2008-6-1,0.032822781,-0.49868,0.011205798,0.041847042,0.038117817,-0.37584,0.021852988,0.049904031,1,0,0,1
2008-7-1,0.038117817,-0.37584,0.021852988,0.049904031,0.041353958,-0.1121,0.013326633,0.055996159,1,0,0,1
2008-8-1,0.041353958,-0.1121,0.013326633,0.055996159,0.039810757,0.08564,-0.00037107,0.053804714,1,1,0,1
2008-9-1,0.039810757,0.08564,-0.00037107,0.053804714,0.036671445,0.00013,-0.021163122,0.049318945,1,1,0,1
2008-10-1,0.036671445,0.00013,-0.021163122,0.049318945,0.026719499,-0.31056,-0.067253281,0.036730493,1,0,0,1
2008-11-1,0.026719499,-0.31056,-0.067253281,0.036730493,0.009261652,-0.28456,-0.116672969,0.010585157,0,0,0,0
2008-12-1,0.009261652,-0.28456,-0.116672969,0.010585157,0.001289324,-0.17097,-0.125417548,0.001085714,0,0,0,0
2009-1-1,0.001289324,-0.17097,-0.125417548,0.001085714,-0.0011146,-0.08876,-0.114812158,0.000203695,0,0,0,0
2009-2-1,-0.0011146,-0.08876,-0.114812158,0.000203695,-0.001315621,-0.0088,-0.110444612,0.002328767,0,0,0,0
2009-3-1,-0.001315621,-0.0088,-0.110444612,0.002328767,-0.005258106,0.23319,-0.127965083,-0.003704918,0,1,0,0
2009-4-1,-0.005258106,0.23319,-0.127965083,-0.003704918,-0.005674197,0.49051,-0.123129347,-0.00726257,0,1,0,0
2009-5-1,-0.005674197,0.49051,-0.123129347,-0.00726257,-0.008893647,0.50533,-0.122640532,-0.012668513,0,1,0,0
2009-6-1,-0.008893647,0.50533,-0.122640532,-0.012668513,-0.010187222,0.39681,-0.106830697,-0.014200183,0,1,0,0
2009-7-1,-0.010187222,0.39681,-0.106830697,-0.014200183,-0.014665368,0.25684,-0.100866761,-0.020971614,0,1,0,0
2009-8-1,-0.014665368,0.25684,-0.100866761,-0.020971614,-0.011007905,0.23475,-0.074906076,-0.014843486,0,1,0,0
2009-9-1,-0.011007905,0.23475,-0.074906076,-0.014843486,-0.010223642,0.25697,-0.083175216,-0.01286206,0,1,0,0
2009-10-1,-0.010223642,0.25697,-0.083175216,-0.01286206,0.000126536,0.1376,-0.033910364,-0.001828483,0,1,0,0
2009-11-1,0.000126536,0.1376,-0.033910364,-0.001828483,0.014597294,0.06986,0.017731273,0.018382959,0,1,0,0
2009-12-1,0.014597294,0.06986,0.017731273,0.018382959,0.020903082,0.10782,0.048934614,0.027213311,1,1,1,1
